match_id,character,opponent_character,result,kos,falls,sds,match_time,damage_given,damage_taken,gsp,match_time_seconds,damage_differential,damage_ratio,ko_differential,damage_per_minute,damage_taken_per_minute,gsp_change,match_intensity
81,toon link,yoshi,1,3,2,0,5:30,435,315,11891115,330,120,1.380952380952381,1,79.0909090909091,57.27272727272727,708785.0,0.015151515151515152
82,toon link,ganondorf,1,3,1,0,4:08,332,195,12553254,248,137,1.7025641025641025,2,80.32258064516128,47.177419354838705,662139.0,0.016129032258064516
83,toon link,incineroar,0,2,3,0,6:13,419,473,11891115,373,-54,0.8858350951374208,-1,67.3994638069705,76.08579088471849,-662139.0,0.013404825737265416
84,toon link,ike,1,2,1,0,3:20,183,235,12510743,200,-52,0.7787234042553192,1,54.9,70.5,619628.0,0.015
85,toon link,jigglypuff,1,3,2,0,5:03,347,313,13043711,303,34,1.1086261980830672,1,68.71287128712872,61.98019801980198,532968.0,0.0165016501650165
86,toon link,joker,0,2,3,0,4:53,228,399,12467989,293,-171,0.5714285714285714,-1,46.68941979522184,81.70648464163821,-575722.0,0.017064846416382253
87,toon link,lucina,1,3,2,0,4:56,336,300,13004266,296,36,1.12,1,68.1081081081081,60.81081081081081,536277.0,0.016891891891891893
88,toon link,fox,0,1,3,0,3:53,215,260,12467989,233,-45,0.8269230769230769,-2,55.36480686695279,66.95278969957081,-536277.0,0.017167381974248927
89,toon link,diddy kong,0,1,3,0,3:08,161,165,11936815,188,-4,0.9757575757575757,-2,51.38297872340426,52.659574468085104,-531174.0,0.02127659574468085
90,toon link,marth,0,1,3,0,4:02,218,288,11375336,242,-70,0.7569444444444444,-2,54.049586776859506,71.40495867768595,-561479.0,0.01652892561983471
91,toon link,lucas,1,3,2,0,5:26,374,363,11936815,326,11,1.0303030303030303,1,68.83435582822085,66.80981595092024,561479.0,0.015337423312883436
92,toon link,falco,1,3,1,0,4:10,253,279,12467989,250,-26,0.9068100358422939,2,60.72,66.96,531174.0,0.016
93,toon link,samus,1,3,1,0,4:01,294,211,12924584,241,83,1.3933649289099526,2,73.19502074688796,52.531120331950206,456595.0,0.016597510373443983
94,toon link,ridley,0,1,3,0,4:11,258,277,12467989,251,-19,0.9314079422382672,-2,61.67330677290836,66.21513944223108,-456595.0,0.01593625498007968
95,toon link,hero,0,2,3,0,4:41,276,312,12027577,281,-36,0.8846153846153846,-1,58.93238434163701,66.61921708185054,-440412.0,0.017793594306049824
96,toon link,king k rool,1,3,2,0,4:57,449,190,12467989,297,259,2.363157894736842,1,90.7070707070707,38.38383838383838,440412.0,0.016835016835016835
97,toon link,ridley,1,3,2,0,4:59,369,277,12843855,299,92,1.332129963898917,1,74.04682274247492,55.585284280936456,375866.0,0.016722408026755852
98,toon link,zero suit samus,1,3,1,0,3:43,215,229,13198810,223,-14,0.9388646288209607,2,57.847533632286996,61.61434977578475,354955.0,0.017937219730941704
99,toon link,ike,1,3,2,0,5:11,398,288,13567469,311,110,1.3819444444444444,1,76.7845659163987,55.562700964630224,368659.0,0.01607717041800643
100,toon link,ike,1,3,1,0,4:48,418,243,13602712,288,175,1.7201646090534979,2,87.08333333333334,50.625,35243.0,0.013888888888888888
101,toon link,byleth,1,3,1,0,5:08,434,294,13875187,308,140,1.4761904761904763,2,84.54545454545453,57.272727272727266,272475.0,0.012987012987012988
102,toon link,hero,1,3,0,0,3:03,242,117,14159800,183,125,2.0683760683760686,3,79.34426229508198,38.36065573770492,284613.0,0.01639344262295082
103,pit,mr game and watch,1,3,0,0,3:14,365,160,14967618,194,205,2.28125,3,112.88659793814433,49.48453608247423,0.0,0.015463917525773196
104,pit,steve,0,2,3,0,4:12,305,418,14808730,252,-113,0.7296650717703349,-1,72.61904761904762,99.52380952380952,-158888.0,0.01984126984126984
105,pit,link,1,3,1,0,4:33,362,309,15010646,273,53,1.1715210355987056,2,79.56043956043956,67.91208791208791,201916.0,0.014652014652014652
106,pit,captain falcon,1,3,2,0,4:17,389,379,15210529,257,10,1.0263852242744063,1,90.8171206225681,88.48249027237354,199883.0,0.019455252918287938
107,pit,ken,0,2,3,0,3:19,280,455,15010646,199,-175,0.6153846153846154,-1,84.42211055276381,137.1859296482412,-199883.0,0.02512562814070352
108,pit,bayonetta,1,3,2,0,3:53,384,454,15210529,233,-70,0.8458149779735683,1,98.88412017167381,116.9098712446352,199883.0,0.02145922746781116
109,pit,little mac,1,3,2,0,2:22,273,275,15369593,142,-2,0.9927272727272727,1,115.35211267605634,116.19718309859155,159064.0,0.035211267605633804
110,pit,captain falcon,0,1,3,0,1:52,195,298,15210529,112,-103,0.6543624161073825,-2,104.46428571428571,159.64285714285714,-159064.0,0.03571428571428571
111,pit,fox,1,3,1,0,2:18,299,210,15418447,138,89,1.4238095238095239,2,130.0,91.30434782608697,207918.0,0.028985507246376812
112,pit,steve,0,2,3,0,2:43,261,439,15247547,163,-178,0.5945330296127562,-1,96.07361963190183,161.59509202453987,-170900.0,0.03067484662576687
113,pit,lucina,1,3,1,0,3:27,292,209,15418447,207,83,1.3971291866028708,2,84.63768115942028,60.57971014492753,170900.0,0.01932367149758454
114,pit,byleth,1,3,2,0,5:33,322,465,15567093,333,-143,0.6924731182795699,1,58.01801801801802,83.78378378378379,148646.0,0.015015015015015015
115,pit,incineroar,0,2,3,0,3:32,373,381,15402387,212,-8,0.979002624671916,-1,105.56603773584906,107.83018867924528,-164706.0,0.02358490566037736
116,pit,rob,1,3,2,0,4:25,391,360,15567093,265,31,1.086111111111111,1,88.52830188679245,81.50943396226414,164706.0,0.018867924528301886
117,pit,kirby,1,3,1,0,2:30,299,238,15695312,150,61,1.2563025210084033,2,119.6,95.2,128219.0,0.02666666666666667
